Environment,Grid Size,Number of Human Models,Obstacle Percentage,Environment Type,Determinizing MDP Time (s),Finding Bottlenecks Time (s),Finding Maximal Achievable With Pruning (s),Finding Maximal Achievable Without Pruning (s),Computing Policy With Pruning (s),Computing Policy Without Pruning (s),Total Runtime With Pruning (s),Total Runtime Without Pruning (s),Runtime Improvement (%),Query Count (Strategic VI),Query Count (Info Gain),Query Count (Transition),Query Count (Proximity),Query Count (Frequency),Query Count (Random),Query Count (Query All),Human Bottlenecks,Initial State Space,Initial Actions
Grid,50,100,0.1,2D Grid,0.354 ± 0.001,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.355 ± 0.001,0.355 ± 0.001,0.0 ± 0.0,4.45 ± 0.13,4.45 ± 0.13,4.45 ± 0.13,4.25 ± 0.12,4.45 ± 0.13,4.42 ± 0.23,8.00 ± 0.00,8.0 ± 0.0,2500,20
Grid,50,100,0.15,2D Grid,0.340 ± 0.008,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.341 ± 0.008,0.341 ± 0.008,0.0 ± 0.0,4.37 ± 0.21,4.37 ± 0.21,4.37 ± 0.21,4.33 ± 0.21,4.37 ± 0.21,4.34 ± 0.19,8.00 ± 0.00,8.0 ± 0.0,2500,20
Grid,50,100,0.2,2D Grid,0.324 ± 0.009,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.325 ± 0.009,0.325 ± 0.009,0.0 ± 0.0,4.40 ± 0.19,4.40 ± 0.19,4.40 ± 0.19,4.27 ± 0.12,4.40 ± 0.19,4.52 ± 0.17,8.00 ± 0.00,8.0 ± 0.0,2500,20
Puddle,50,100,0.1,2D Grid,0.359 ± 0.005,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.360 ± 0.005,0.360 ± 0.005,0.0 ± 0.0,4.35 ± 0.28,4.35 ± 0.28,4.35 ± 0.28,4.29 ± 0.30,4.35 ± 0.28,4.53 ± 0.15,8.00 ± 0.00,8.0 ± 0.0,2500,20
Puddle,50,100,0.15,2D Grid,0.339 ± 0.003,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.340 ± 0.003,0.340 ± 0.003,0.0 ± 0.0,4.54 ± 0.08,4.54 ± 0.08,4.54 ± 0.08,4.39 ± 0.15,4.54 ± 0.08,4.55 ± 0.10,8.00 ± 0.00,8.0 ± 0.0,2500,20
Puddle,50,100,0.2,2D Grid,0.333 ± 0.009,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.334 ± 0.009,0.334 ± 0.009,0.0 ± 0.0,4.38 ± 0.26,4.38 ± 0.26,4.38 ± 0.26,4.32 ± 0.23,4.38 ± 0.26,4.51 ± 0.18,8.00 ± 0.00,8.0 ± 0.0,2500,20
Rock,50,100,0.1,2D Grid,0.358 ± 0.003,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.358 ± 0.003,0.358 ± 0.003,0.0 ± 0.0,4.34 ± 0.26,4.34 ± 0.26,4.34 ± 0.26,4.32 ± 0.20,4.34 ± 0.26,4.41 ± 0.12,8.00 ± 0.00,8.0 ± 0.0,2500,20
Rock,50,100,0.15,2D Grid,0.336 ± 0.002,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.337 ± 0.002,0.337 ± 0.002,0.0 ± 0.0,4.41 ± 0.09,4.41 ± 0.09,4.41 ± 0.09,4.30 ± 0.22,4.41 ± 0.09,4.27 ± 0.11,8.00 ± 0.00,8.0 ± 0.0,2500,20
Rock,50,100,0.2,2D Grid,0.328 ± 0.009,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.329 ± 0.009,0.329 ± 0.009,0.0 ± 0.0,4.39 ± 0.24,4.39 ± 0.24,4.39 ± 0.24,4.40 ± 0.10,4.39 ± 0.24,4.31 ± 0.16,8.00 ± 0.00,8.0 ± 0.0,2500,20
Four Rooms,50,100,0.0,2D Grid,0.402 ± 0.005,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.403 ± 0.005,0.403 ± 0.005,0.0 ± 0.0,4.41 ± 0.12,4.41 ± 0.12,4.41 ± 0.12,4.54 ± 0.16,4.41 ± 0.12,4.36 ± 0.13,8.00 ± 0.00,8.0 ± 0.0,2500,20
Grid,100,10,0.1,2D Grid,1.136 ± 0.152,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.137 ± 0.152,1.137 ± 0.152,0.0 ± 0.0,3.34 ± 0.42,3.34 ± 0.42,3.34 ± 0.42,3.42 ± 0.60,3.34 ± 0.42,3.28 ± 0.58,6.00 ± 0.89,6.0 ± 0.9,10000,20
Grid,100,10,0.15,2D Grid,1.043 ± 0.134,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,1.044 ± 0.134,1.044 ± 0.134,0.0 ± 0.0,3.40 ± 0.73,3.40 ± 0.73,3.40 ± 0.73,3.08 ± 0.52,3.40 ± 0.73,2.86 ± 0.48,5.80 ± 0.75,5.8 ± 0.7,10000,20
Grid,100,10,0.2,2D Grid,1.013 ± 0.094,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.014 ± 0.094,1.014 ± 0.094,0.0 ± 0.0,3.24 ± 0.62,3.24 ± 0.62,3.24 ± 0.62,3.32 ± 0.22,3.24 ± 0.62,3.00 ± 0.56,6.00 ± 0.63,6.0 ± 0.6,10000,20
Puddle,100,10,0.1,2D Grid,1.112 ± 0.066,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.112 ± 0.066,1.112 ± 0.066,0.0 ± 0.0,3.34 ± 0.54,3.34 ± 0.54,3.34 ± 0.54,3.02 ± 0.37,3.34 ± 0.54,3.32 ± 0.35,5.80 ± 0.40,5.8 ± 0.4,10000,20
Puddle,100,10,0.15,2D Grid,1.044 ± 0.066,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,1.045 ± 0.066,1.045 ± 0.066,0.0 ± 0.0,3.22 ± 0.21,3.22 ± 0.21,3.22 ± 0.21,3.24 ± 0.24,3.22 ± 0.21,3.34 ± 0.16,5.80 ± 0.40,5.8 ± 0.4,10000,20
Puddle,100,10,0.2,2D Grid,0.986 ± 0.184,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,0.986 ± 0.184,0.986 ± 0.184,0.0 ± 0.0,3.26 ± 0.68,3.26 ± 0.68,3.26 ± 0.68,2.98 ± 0.47,3.26 ± 0.68,3.16 ± 0.63,5.40 ± 1.02,5.4 ± 1.0,10000,20
Rock,100,10,0.1,2D Grid,1.135 ± 0.137,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.136 ± 0.138,1.136 ± 0.138,0.0 ± 0.0,3.36 ± 0.41,3.36 ± 0.41,3.36 ± 0.41,2.90 ± 0.36,3.36 ± 0.41,3.52 ± 0.48,5.80 ± 0.75,5.8 ± 0.7,10000,20
Rock,100,10,0.15,2D Grid,1.045 ± 0.063,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,1.046 ± 0.063,1.046 ± 0.063,0.0 ± 0.0,3.42 ± 0.24,3.42 ± 0.24,3.42 ± 0.24,3.36 ± 0.48,3.42 ± 0.24,3.14 ± 0.45,5.80 ± 0.40,5.8 ± 0.4,10000,20
Rock,100,10,0.2,2D Grid,1.143 ± 0.066,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.144 ± 0.067,1.144 ± 0.067,0.0 ± 0.0,3.72 ± 0.37,3.72 ± 0.37,3.72 ± 0.37,3.94 ± 0.34,3.72 ± 0.37,3.88 ± 0.51,6.80 ± 0.40,6.8 ± 0.4,10000,20
Four Rooms,100,10,0.0,2D Grid,1.166 ± 0.149,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,1.167 ± 0.149,1.167 ± 0.149,0.0 ± 0.0,2.92 ± 0.41,2.92 ± 0.41,2.92 ± 0.41,2.88 ± 0.45,2.92 ± 0.41,3.10 ± 0.62,5.40 ± 0.80,5.4 ± 0.8,10000,20
Grid,100,50,0.1,2D Grid,1.459 ± 0.013,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.460 ± 0.013,1.460 ± 0.013,0.0 ± 0.0,4.38 ± 0.36,4.38 ± 0.36,4.38 ± 0.36,4.34 ± 0.29,4.38 ± 0.36,4.41 ± 0.34,8.00 ± 0.00,8.0 ± 0.0,10000,20
Grid,100,50,0.15,2D Grid,1.383 ± 0.014,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.384 ± 0.014,1.384 ± 0.014,0.0 ± 0.0,4.55 ± 0.18,4.55 ± 0.18,4.55 ± 0.18,4.33 ± 0.19,4.55 ± 0.18,4.21 ± 0.24,8.00 ± 0.00,8.0 ± 0.0,10000,20
Grid,100,50,0.2,2D Grid,1.331 ± 0.028,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.332 ± 0.028,1.332 ± 0.028,0.0 ± 0.0,4.35 ± 0.26,4.35 ± 0.26,4.35 ± 0.26,4.26 ± 0.23,4.35 ± 0.26,4.42 ± 0.07,8.00 ± 0.00,8.0 ± 0.0,10000,20
Puddle,100,50,0.1,2D Grid,1.455 ± 0.004,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.456 ± 0.004,1.456 ± 0.004,0.0 ± 0.0,4.48 ± 0.24,4.48 ± 0.24,4.48 ± 0.24,4.39 ± 0.16,4.48 ± 0.24,4.27 ± 0.29,8.00 ± 0.00,8.0 ± 0.0,10000,20
Puddle,100,50,0.15,2D Grid,1.386 ± 0.033,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.387 ± 0.033,1.387 ± 0.033,0.0 ± 0.0,4.18 ± 0.39,4.18 ± 0.39,4.18 ± 0.39,4.45 ± 0.40,4.18 ± 0.39,4.39 ± 0.21,8.00 ± 0.00,8.0 ± 0.0,10000,20
Puddle,100,50,0.2,2D Grid,1.324 ± 0.031,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.324 ± 0.031,1.324 ± 0.031,0.0 ± 0.0,4.22 ± 0.26,4.22 ± 0.26,4.22 ± 0.26,4.29 ± 0.37,4.22 ± 0.26,4.38 ± 0.24,8.00 ± 0.00,8.0 ± 0.0,10000,20
Rock,100,50,0.1,2D Grid,1.446 ± 0.009,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.447 ± 0.009,1.447 ± 0.009,0.0 ± 0.0,4.64 ± 0.31,4.64 ± 0.31,4.64 ± 0.31,4.26 ± 0.31,4.64 ± 0.31,4.33 ± 0.36,8.00 ± 0.00,8.0 ± 0.0,10000,20
Rock,100,50,0.15,2D Grid,1.386 ± 0.025,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.387 ± 0.025,1.387 ± 0.025,0.0 ± 0.0,4.43 ± 0.08,4.43 ± 0.08,4.43 ± 0.08,4.05 ± 0.17,4.43 ± 0.08,4.53 ± 0.28,8.00 ± 0.00,8.0 ± 0.0,10000,20
Rock,100,50,0.2,2D Grid,1.326 ± 0.029,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.327 ± 0.029,1.327 ± 0.029,0.0 ± 0.0,4.48 ± 0.23,4.48 ± 0.23,4.48 ± 0.23,4.36 ± 0.14,4.48 ± 0.23,4.09 ± 0.31,8.00 ± 0.00,8.0 ± 0.0,10000,20
Four Rooms,100,50,0.0,2D Grid,1.638 ± 0.010,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.639 ± 0.010,1.639 ± 0.010,0.0 ± 0.0,4.59 ± 0.16,4.59 ± 0.16,4.59 ± 0.16,4.48 ± 0.28,4.59 ± 0.16,4.42 ± 0.15,8.00 ± 0.00,8.0 ± 0.0,10000,20
Grid,100,100,0.1,2D Grid,1.465 ± 0.009,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.466 ± 0.009,1.466 ± 0.009,0.0 ± 0.0,4.52 ± 0.12,4.52 ± 0.12,4.52 ± 0.12,4.32 ± 0.04,4.52 ± 0.12,4.24 ± 0.29,8.00 ± 0.00,8.0 ± 0.0,10000,20
Grid,100,100,0.15,2D Grid,1.391 ± 0.026,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.392 ± 0.026,1.392 ± 0.026,0.0 ± 0.0,4.50 ± 0.17,4.50 ± 0.17,4.50 ± 0.17,4.20 ± 0.21,4.50 ± 0.17,4.27 ± 0.19,8.00 ± 0.00,8.0 ± 0.0,10000,20
Grid,100,100,0.2,2D Grid,1.339 ± 0.041,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.340 ± 0.041,1.340 ± 0.041,0.0 ± 0.0,4.22 ± 0.18,4.22 ± 0.18,4.22 ± 0.18,4.46 ± 0.04,4.22 ± 0.18,4.33 ± 0.15,8.00 ± 0.00,8.0 ± 0.0,10000,20
Puddle,100,100,0.1,2D Grid,1.463 ± 0.007,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.464 ± 0.007,1.464 ± 0.007,0.0 ± 0.0,4.28 ± 0.28,4.28 ± 0.28,4.28 ± 0.28,4.34 ± 0.17,4.28 ± 0.28,4.26 ± 0.20,8.00 ± 0.00,8.0 ± 0.0,10000,20
Puddle,100,100,0.15,2D Grid,1.388 ± 0.016,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.389 ± 0.016,1.389 ± 0.016,0.0 ± 0.0,4.34 ± 0.18,4.34 ± 0.18,4.34 ± 0.18,4.27 ± 0.16,4.34 ± 0.18,4.47 ± 0.26,8.00 ± 0.00,8.0 ± 0.0,10000,20
Puddle,100,100,0.2,2D Grid,1.309 ± 0.018,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.310 ± 0.018,1.310 ± 0.018,0.0 ± 0.0,4.29 ± 0.21,4.29 ± 0.21,4.29 ± 0.21,4.46 ± 0.21,4.29 ± 0.21,4.37 ± 0.21,8.00 ± 0.00,8.0 ± 0.0,10000,20
Rock,100,100,0.1,2D Grid,1.480 ± 0.030,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.481 ± 0.030,1.481 ± 0.030,0.0 ± 0.0,4.43 ± 0.24,4.43 ± 0.24,4.43 ± 0.24,4.40 ± 0.17,4.43 ± 0.24,4.23 ± 0.34,8.00 ± 0.00,8.0 ± 0.0,10000,20
Rock,100,100,0.15,2D Grid,1.379 ± 0.026,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.380 ± 0.026,1.380 ± 0.026,0.0 ± 0.0,4.25 ± 0.21,4.25 ± 0.21,4.25 ± 0.21,4.45 ± 0.26,4.25 ± 0.21,4.10 ± 0.13,8.00 ± 0.00,8.0 ± 0.0,10000,20
Rock,100,100,0.2,2D Grid,1.310 ± 0.038,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.311 ± 0.038,1.311 ± 0.038,0.0 ± 0.0,4.33 ± 0.24,4.33 ± 0.24,4.33 ± 0.24,4.42 ± 0.23,4.33 ± 0.24,4.22 ± 0.12,8.00 ± 0.00,8.0 ± 0.0,10000,20
Four Rooms,100,100,0.0,2D Grid,1.620 ± 0.005,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,1.621 ± 0.005,1.621 ± 0.005,0.0 ± 0.0,4.24 ± 0.21,4.24 ± 0.21,4.24 ± 0.21,4.32 ± 0.11,4.24 ± 0.21,4.39 ± 0.15,8.00 ± 0.00,8.0 ± 0.0,10000,20
Grid,196,10,0.1,2D Grid,4.622 ± 0.548,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,4.623 ± 0.548,4.623 ± 0.548,0.0 ± 0.0,3.04 ± 0.33,3.04 ± 0.33,3.04 ± 0.33,3.62 ± 0.57,3.04 ± 0.33,2.94 ± 0.32,6.00 ± 0.89,6.0 ± 0.9,38416,20
Grid,196,10,0.15,2D Grid,4.596 ± 0.270,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,4.596 ± 0.270,4.596 ± 0.270,0.0 ± 0.0,3.66 ± 0.37,3.66 ± 0.37,3.66 ± 0.37,3.58 ± 0.29,3.66 ± 0.37,3.74 ± 0.40,6.40 ± 0.49,6.4 ± 0.5,38416,20
Grid,196,10,0.2,2D Grid,4.349 ± 0.561,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,4.349 ± 0.561,4.349 ± 0.561,0.0 ± 0.0,3.30 ± 0.43,3.30 ± 0.43,3.30 ± 0.43,3.50 ± 0.41,3.30 ± 0.43,3.40 ± 0.62,6.20 ± 0.75,6.2 ± 0.7,38416,20
Puddle,196,10,0.1,2D Grid,4.044 ± 0.240,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,4.044 ± 0.240,4.044 ± 0.240,0.0 ± 0.0,2.62 ± 0.28,2.62 ± 0.28,2.62 ± 0.28,2.86 ± 0.24,2.62 ± 0.28,2.56 ± 0.20,5.20 ± 0.40,5.2 ± 0.4,38416,20
Puddle,196,10,0.15,2D Grid,4.979 ± 0.374,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,4.979 ± 0.374,4.979 ± 0.374,0.0 ± 0.0,3.94 ± 0.59,3.94 ± 0.59,3.94 ± 0.59,3.84 ± 0.37,3.94 ± 0.59,3.92 ± 0.44,7.00 ± 0.63,7.0 ± 0.6,38416,20
Puddle,196,10,0.2,2D Grid,4.503 ± 0.359,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,4.503 ± 0.359,4.503 ± 0.359,0.0 ± 0.0,3.52 ± 0.54,3.52 ± 0.54,3.52 ± 0.54,3.74 ± 0.54,3.52 ± 0.54,3.44 ± 0.22,6.60 ± 0.80,6.6 ± 0.8,38416,20
Rock,196,10,0.1,2D Grid,4.566 ± 0.686,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,4.567 ± 0.686,4.567 ± 0.686,0.0 ± 0.0,3.46 ± 0.70,3.46 ± 0.70,3.46 ± 0.70,3.30 ± 0.71,3.46 ± 0.70,3.24 ± 0.72,6.00 ± 1.10,6.0 ± 1.1,38416,20
Rock,196,10,0.15,2D Grid,3.985 ± 0.825,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,3.986 ± 0.826,3.986 ± 0.826,0.0 ± 0.0,2.96 ± 0.85,2.96 ± 0.85,2.96 ± 0.85,2.98 ± 0.63,2.96 ± 0.85,3.16 ± 1.10,5.40 ± 1.36,5.4 ± 1.4,38416,20
Rock,196,10,0.2,2D Grid,4.337 ± 0.295,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,4.338 ± 0.295,4.338 ± 0.295,0.0 ± 0.0,3.46 ± 0.43,3.46 ± 0.43,3.46 ± 0.43,3.52 ± 0.31,3.46 ± 0.43,3.56 ± 0.48,6.20 ± 0.40,6.2 ± 0.4,38416,20
Four Rooms,196,10,0.0,2D Grid,4.845 ± 0.368,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,4.846 ± 0.368,4.846 ± 0.368,0.0 ± 0.0,3.10 ± 0.49,3.10 ± 0.49,3.10 ± 0.49,3.00 ± 0.23,3.10 ± 0.49,3.38 ± 0.26,5.60 ± 0.49,5.6 ± 0.5,38416,20
Grid,196,50,0.1,2D Grid,5.900 ± 0.044,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.901 ± 0.044,5.901 ± 0.044,0.0 ± 0.0,4.50 ± 0.38,4.50 ± 0.38,4.50 ± 0.38,4.14 ± 0.47,4.50 ± 0.38,4.37 ± 0.10,8.00 ± 0.00,8.0 ± 0.0,38416,20
Grid,196,50,0.15,2D Grid,5.562 ± 0.047,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.563 ± 0.047,5.563 ± 0.047,0.0 ± 0.0,4.32 ± 0.13,4.32 ± 0.13,4.32 ± 0.13,4.36 ± 0.25,4.32 ± 0.13,4.51 ± 0.09,8.00 ± 0.00,8.0 ± 0.0,38416,20
Grid,196,50,0.2,2D Grid,5.403 ± 0.169,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.404 ± 0.169,5.404 ± 0.169,0.0 ± 0.0,4.26 ± 0.23,4.26 ± 0.23,4.26 ± 0.23,4.61 ± 0.21,4.26 ± 0.23,4.18 ± 0.38,8.00 ± 0.00,8.0 ± 0.0,38416,20
Puddle,196,50,0.1,2D Grid,5.803 ± 0.039,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.804 ± 0.039,5.804 ± 0.039,0.0 ± 0.0,4.26 ± 0.52,4.26 ± 0.52,4.26 ± 0.52,4.43 ± 0.30,4.26 ± 0.52,4.42 ± 0.18,8.00 ± 0.00,8.0 ± 0.0,38416,20
Puddle,196,50,0.15,2D Grid,5.497 ± 0.053,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.498 ± 0.053,5.498 ± 0.053,0.0 ± 0.0,4.51 ± 0.32,4.51 ± 0.32,4.51 ± 0.32,4.30 ± 0.39,4.51 ± 0.32,4.32 ± 0.10,8.00 ± 0.00,8.0 ± 0.0,38416,20
Puddle,196,50,0.2,2D Grid,5.179 ± 0.061,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.180 ± 0.061,5.180 ± 0.061,0.0 ± 0.0,4.42 ± 0.24,4.42 ± 0.24,4.42 ± 0.24,4.40 ± 0.12,4.42 ± 0.24,4.27 ± 0.20,8.00 ± 0.00,8.0 ± 0.0,38416,20
Rock,196,50,0.1,2D Grid,5.809 ± 0.023,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.810 ± 0.023,5.810 ± 0.023,0.0 ± 0.0,4.37 ± 0.24,4.37 ± 0.24,4.37 ± 0.24,4.38 ± 0.28,4.37 ± 0.24,4.31 ± 0.28,8.00 ± 0.00,8.0 ± 0.0,38416,20
Rock,196,50,0.15,2D Grid,5.532 ± 0.082,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.533 ± 0.082,5.533 ± 0.082,0.0 ± 0.0,4.39 ± 0.04,4.39 ± 0.04,4.39 ± 0.04,4.25 ± 0.18,4.39 ± 0.04,4.14 ± 0.35,8.00 ± 0.00,8.0 ± 0.0,38416,20
Rock,196,50,0.2,2D Grid,5.211 ± 0.079,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.212 ± 0.079,5.212 ± 0.079,0.0 ± 0.0,4.37 ± 0.11,4.37 ± 0.11,4.37 ± 0.11,4.22 ± 0.23,4.37 ± 0.11,4.18 ± 0.17,8.00 ± 0.00,8.0 ± 0.0,38416,20
Four Rooms,196,50,0.0,2D Grid,6.642 ± 0.042,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,6.643 ± 0.042,6.643 ± 0.042,0.0 ± 0.0,4.23 ± 0.17,4.23 ± 0.17,4.23 ± 0.17,4.52 ± 0.17,4.23 ± 0.17,4.29 ± 0.36,8.00 ± 0.00,8.0 ± 0.0,38416,20
Grid,196,100,0.1,2D Grid,5.888 ± 0.023,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.889 ± 0.023,5.889 ± 0.023,0.0 ± 0.0,4.37 ± 0.19,4.37 ± 0.19,4.37 ± 0.19,4.55 ± 0.20,4.37 ± 0.19,4.39 ± 0.15,8.00 ± 0.00,8.0 ± 0.0,38416,20
Grid,196,100,0.15,2D Grid,5.596 ± 0.073,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.597 ± 0.073,5.597 ± 0.073,0.0 ± 0.0,4.49 ± 0.21,4.49 ± 0.21,4.49 ± 0.21,4.32 ± 0.22,4.49 ± 0.21,4.45 ± 0.26,8.00 ± 0.00,8.0 ± 0.0,38416,20
Grid,196,100,0.2,2D Grid,5.447 ± 0.177,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.448 ± 0.177,5.448 ± 0.177,0.0 ± 0.0,4.40 ± 0.21,4.40 ± 0.21,4.40 ± 0.21,4.23 ± 0.25,4.40 ± 0.21,4.34 ± 0.19,8.00 ± 0.00,8.0 ± 0.0,38416,20
Puddle,196,100,0.1,2D Grid,5.829 ± 0.035,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.830 ± 0.035,5.830 ± 0.035,0.0 ± 0.0,4.40 ± 0.14,4.40 ± 0.14,4.40 ± 0.14,4.34 ± 0.08,4.40 ± 0.14,4.26 ± 0.08,8.00 ± 0.00,8.0 ± 0.0,38416,20
Puddle,196,100,0.15,2D Grid,5.493 ± 0.087,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.494 ± 0.087,5.494 ± 0.087,0.0 ± 0.0,4.33 ± 0.22,4.33 ± 0.22,4.33 ± 0.22,4.32 ± 0.21,4.33 ± 0.22,4.24 ± 0.35,8.00 ± 0.00,8.0 ± 0.0,38416,20
Puddle,196,100,0.2,2D Grid,5.239 ± 0.097,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.240 ± 0.097,5.240 ± 0.097,0.0 ± 0.0,4.25 ± 0.20,4.25 ± 0.20,4.25 ± 0.20,4.34 ± 0.19,4.25 ± 0.20,4.37 ± 0.15,8.00 ± 0.00,8.0 ± 0.0,38416,20
Rock,196,100,0.1,2D Grid,5.806 ± 0.024,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.807 ± 0.024,5.807 ± 0.024,0.0 ± 0.0,4.43 ± 0.13,4.43 ± 0.13,4.43 ± 0.13,4.28 ± 0.16,4.43 ± 0.13,4.27 ± 0.22,8.00 ± 0.00,8.0 ± 0.0,38416,20
Rock,196,100,0.15,2D Grid,5.516 ± 0.073,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.517 ± 0.073,5.517 ± 0.073,0.0 ± 0.0,4.41 ± 0.11,4.41 ± 0.11,4.41 ± 0.11,4.37 ± 0.10,4.41 ± 0.11,4.53 ± 0.11,8.00 ± 0.00,8.0 ± 0.0,38416,20
Rock,196,100,0.2,2D Grid,5.234 ± 0.120,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,5.235 ± 0.120,5.235 ± 0.120,0.0 ± 0.0,4.32 ± 0.16,4.32 ± 0.16,4.32 ± 0.16,4.38 ± 0.23,4.32 ± 0.16,4.26 ± 0.13,8.00 ± 0.00,8.0 ± 0.0,38416,20
