# TABLE 1 - mean queries until the human's subgoal set is identified (50 repetitions per configuration). Grid rows give the range across the four grid domains. |B| and |Phi| are observed rather than set.
Domain                                                                                                                                                                                                     , Humans, |B|       , |Phi|   , Random         , VI baseline   , H1 Info Gain  , H3 Goal Proximity, H4 Query Frequency
Grid family                                                                                                                                                                                                , 12    , 13.3-16.0 , 3.8-4.1 , 8.74-10.60     , 2.62-2.92     , 5.64-6.64     , 4.48-5.26        , 7.98-9.08
Grid family                                                                                                                                                                                                , 16    , 13.6-15.6 , 3.8-4.0 , 9.30-9.66      , 2.30-2.90     , 5.86-7.60     , 4.14-5.52        , 8.60-9.74
Grid family                                                                                                                                                                                                , 20    , 14.1-16.1 , 3.9-4.0 , 8.94-9.80      , 2.50-3.16     , 6.14-7.38     , 4.36-5.30        , 8.90-9.42
Overcooked                                                                                                                                                                                                 , 12    , 12.7      , 10.6    , 12.40 +/- 2.12 , 9.70 +/- 2.07 , 11.56 +/- 2.14, n/a              , 12.66 +/- 2.22
Overcooked                                                                                                                                                                                                 , 16    , 13.8      , 12.2    , 13.28 +/- 2.50 , 10.90 +/- 2.36, 12.66 +/- 2.41, n/a              , 13.78 +/- 2.44
Overcooked                                                                                                                                                                                                 , 20    , 15.1      , 14.5    , 14.64 +/- 2.14 , 12.12 +/- 1.90, 13.94 +/- 1.94, n/a              , 15.06 +/- 1.97

# TABLE 2 - variance of the query count (VI baseline vs Info Gain) by Levene's median-centred test on the raw per-episode counts. Ratio > 1 means Info Gain varies more.
Domain                                                                                                                                                                                                     , States, n episodes, var (VI), var (Info Gain), ratio         , Levene p
gridworld                                                                                                                                                                                                  , 625   , 150       , 1.267   , 15.216         , 12.01         , 1.750e-35
puddleworld                                                                                                                                                                                                , 625   , 150       , 1.433   , 18.407         , 12.85         , 9.179e-39
rockworld                                                                                                                                                                                                  , 1250  , 150       , 1.867   , 15.35          , 8.22          , 9.895e-29
taxiworld                                                                                                                                                                                                  , 1875  , 150       , 0.762   , 15.39          , 20.2          , 6.678e-52
overcooked                                                                                                                                                                                                 , 38417 , 150       , 5.508   , 5.693          , 1.03          , 9.359e-01
