seed,human,n_queries
0,0,4.0
0,1,49.0
0,2,44.0
0,3,47.0
0,4,43.0
0,5,9.0
0,6,3.0
0,7,1.0
0,8,43.0
0,9,43.0
0,10,1.0
0,11,1.0
1,0,8.0
1,1,46.0
1,2,41.0
1,3,41.0
1,4,44.0
1,5,1.0
1,6,5.0
1,7,2.0
1,8,45.0
1,9,41.0
1,10,2.0
1,11,2.0
2,0,4.0
2,1,47.0
2,2,39.0
2,3,46.0
2,4,40.0
2,5,2.0
2,6,10.0
2,7,3.0
2,8,39.0
2,9,42.0
2,10,9.0
2,11,1.0
