seed,human,n_queries
0,0,15.0
0,1,31.0
0,2,31.0
0,3,29.0
0,4,31.0
0,5,20.0
0,6,2.0
0,7,12.0
0,8,31.0
0,9,37.0
0,10,12.0
0,11,5.0
1,0,11.0
1,1,29.0
1,2,29.0
1,3,29.0
1,4,31.0
1,5,1.0
1,6,8.0
1,7,4.0
1,8,29.0
1,9,51.0
1,10,20.0
1,11,26.0
2,0,7.0
2,1,31.0
2,2,31.0
2,3,31.0
2,4,33.0
2,5,14.0
2,6,18.0
2,7,1.0
2,8,31.0
2,9,43.0
2,10,37.0
2,11,1.0
