seed,step,queries,loss,maxq0,mean_q,eps,sec
1,26000,23.917,4.4971,0.671,-13.41,0.5883,124.2
1,28000,24.167,4.42918,0.706,-13.412,0.5567,135.1
1,30000,22.5,4.39435,0.676,-13.409,0.525,145.9
1,32000,24.0,4.42101,0.66,-13.223,0.4933,157.0
1,34000,23.833,4.25683,0.648,-13.652,0.4617,167.9
1,36000,23.583,4.25152,0.599,-13.537,0.43,179.2
1,38000,22.25,4.22602,0.619,-13.475,0.3983,190.9
1,40000,23.333,4.27711,0.619,-13.484,0.3667,202.7
1,42000,22.917,4.21665,0.595,-13.337,0.335,214.6
1,44000,23.583,4.13954,0.609,-13.595,0.3033,226.8
1,46000,23.667,4.18949,0.621,-13.414,0.2717,232.6
1,48000,23.917,4.0948,0.624,-13.389,0.24,238.4
1,50000,24.417,4.123,0.664,-13.727,0.2083,244.3
1,52000,23.833,4.0893,0.628,-13.073,0.1767,250.2
1,54000,23.25,4.04747,0.658,-13.362,0.145,256.2
1,56000,23.25,4.07811,0.639,-13.183,0.1133,262.3
1,58000,21.417,4.12245,0.691,-13.545,0.0817,268.5
1,60000,23.0,4.08076,0.703,-13.395,0.05,274.7
1,62000,21.083,3.99093,0.691,-13.257,0.05,281.0
1,64000,22.333,3.99174,0.692,-13.455,0.05,287.3
1,66000,22.75,4.01261,0.694,-13.616,0.05,293.5
1,68000,23.167,3.9852,0.696,-13.588,0.05,299.8
1,70000,22.583,4.04984,0.748,-13.667,0.05,306.0
1,72000,24.167,3.99698,0.728,-13.216,0.05,312.3
1,74000,24.5,3.99757,0.708,-13.244,0.05,318.5
1,76000,23.667,3.96535,0.737,-13.365,0.05,324.8
1,78000,25.083,4.01167,0.743,-13.554,0.05,331.0
1,80000,23.667,3.96256,0.728,-13.536,0.05,337.3
1,82000,23.5,3.9533,0.728,-13.594,0.05,343.5
1,84000,25.5,3.92931,0.73,-13.703,0.05,349.8
1,86000,24.083,3.95283,0.707,-13.488,0.05,356.0
1,88000,24.5,3.94086,0.702,-13.463,0.05,362.3
1,90000,22.417,3.94235,0.705,-13.597,0.05,368.5
1,92000,24.833,3.93734,0.699,-13.421,0.05,374.8
1,94000,25.083,3.86433,0.727,-13.666,0.05,381.0
1,96000,25.083,3.90503,0.701,-13.479,0.05,387.3
1,98000,23.917,3.87523,0.676,-13.447,0.05,393.5
1,100000,24.583,3.85387,0.726,-13.751,0.05,399.8
1,102000,23.167,3.86885,0.697,-13.695,0.05,406.1
1,104000,25.083,3.88536,0.714,-13.571,0.05,412.3
1,106000,23.917,3.85414,0.704,-13.782,0.05,418.5
1,108000,24.5,3.8385,0.692,-13.494,0.05,424.8
1,110000,24.167,3.84467,0.675,-13.524,0.05,431.1
1,112000,25.0,3.83281,0.661,-13.407,0.05,437.3
1,114000,23.667,3.84476,0.699,-13.557,0.05,443.5
1,116000,24.167,3.85827,0.701,-13.544,0.05,449.8
1,118000,24.667,3.86749,0.708,-13.51,0.05,456.0
1,120000,23.583,3.81989,0.688,-13.19,0.05,462.3
1,122000,23.5,3.82882,0.688,-14.021,0.05,468.5
1,124000,24.083,3.85865,0.663,-13.207,0.05,474.8
1,126000,23.333,3.8315,0.708,-13.642,0.05,481.0
1,128000,23.833,3.82678,0.697,-13.638,0.05,487.3
1,130000,23.5,3.84613,0.7,-13.378,0.05,493.5
1,132000,24.167,3.80217,0.679,-13.311,0.05,499.8
1,134000,23.417,3.78134,0.706,-13.462,0.05,506.0
1,136000,23.083,3.76596,0.725,-13.731,0.05,512.3
1,138000,23.917,3.81058,0.733,-13.581,0.05,518.5
1,140000,22.333,3.77705,0.741,-13.877,0.05,524.8
1,142000,22.167,3.84414,0.743,-13.586,0.05,531.0
1,144000,23.833,3.81691,0.725,-13.955,0.05,537.3
1,146000,24.167,3.79381,0.709,-13.572,0.05,543.5
1,148000,23.583,3.82474,0.749,-13.958,0.05,549.8
