seed,human,n_queries
0,0,4.0
0,1,50.0
0,2,38.0
0,3,48.0
0,4,44.0
0,5,1.0
0,6,7.0
0,7,3.0
0,8,43.0
0,9,44.0
0,10,9.0
0,11,2.0
1,0,10.0
1,1,43.0
1,2,43.0
1,3,43.0
1,4,46.0
1,5,3.0
1,6,2.0
1,7,1.0
1,8,46.0
1,9,42.0
1,10,7.0
1,11,5.0
