seed,human,n_queries
0,0,6.0
0,1,25.0
0,2,25.0
0,3,25.0
0,4,31.0
0,5,1.0
0,6,5.0
0,7,2.0
0,8,25.0
0,9,31.0
0,10,11.0
0,11,3.0
1,0,5.0
1,1,25.0
1,2,25.0
1,3,25.0
1,4,30.0
1,5,1.0
1,6,6.0
1,7,2.0
1,8,25.0
1,9,31.0
1,10,8.0
1,11,3.0
2,0,1.0
2,1,25.0
2,2,25.0
2,3,25.0
2,4,30.0
2,5,7.0
2,6,8.0
2,7,4.0
2,8,25.0
2,9,30.0
2,10,10.0
2,11,2.0
