seed,human,n_queries
0,0,3.0
0,1,25.0
0,2,25.0
0,3,25.0
0,4,31.0
0,5,1.0
0,6,2.0
0,7,4.0
0,8,25.0
0,9,30.0
0,10,4.0
0,11,4.0
1,0,2.0
1,1,25.0
1,2,25.0
1,3,25.0
1,4,31.0
1,5,8.0
1,6,1.0
1,7,6.0
1,8,25.0
1,9,31.0
1,10,6.0
1,11,6.0
