seed,human,n_queries
0,0,8.0
0,1,35.0
0,2,27.0
0,3,26.0
0,4,33.0
0,5,17.0
0,6,9.0
0,7,3.0
0,8,27.0
0,9,31.0
0,10,3.0
0,11,3.0
