seed,human,n_queries
0,0,8.0
0,1,41.0
0,2,43.0
0,3,41.0
0,4,46.0
0,5,25.0
0,6,26.0
0,7,1.0
0,8,41.0
0,9,45.0
0,10,1.0
0,11,1.0
1,0,20.0
1,1,48.0
1,2,51.0
1,3,46.0
1,4,53.0
1,5,7.0
1,6,19.0
1,7,6.0
1,8,47.0
1,9,49.0
1,10,48.0
1,11,14.0
2,0,30.0
2,1,50.0
2,2,47.0
2,3,49.0
2,4,49.0
2,5,17.0
2,6,1.0
2,7,27.0
2,8,48.0
2,9,48.0
2,10,48.0
2,11,15.0
