seed,human,n_queries
0,0,2.0
0,1,25.0
0,2,25.0
0,3,25.0
0,4,31.0
0,5,3.0
0,6,10.0
0,7,5.0
0,8,25.0
0,9,30.0
0,10,6.0
0,11,1.0
1,0,2.0
1,1,25.0
1,2,25.0
1,3,25.0
1,4,30.0
1,5,3.0
1,6,10.0
1,7,1.0
1,8,25.0
1,9,30.0
1,10,4.0
1,11,4.0
2,0,1.0
2,1,25.0
2,2,25.0
2,3,25.0
2,4,30.0
2,5,2.0
2,6,7.0
2,7,4.0
2,8,25.0
2,9,31.0
2,10,12.0
2,11,3.0
