seed,step,queries,loss,maxq0,mean_q,eps,sec
0,196000,16.25,12.34247,-31.87,-65.241,0.05,645.2
0,198000,16.25,12.31918,-30.937,-65.43,0.05,651.9
0,200000,16.417,12.38049,-31.787,-66.103,0.05,658.5
0,202000,16.417,12.26512,-30.963,-65.979,0.05,665.2
0,204000,16.333,12.29056,-31.276,-66.619,0.05,671.9
0,206000,17.333,12.2344,-31.535,-66.842,0.05,679.0
0,208000,16.917,12.06854,-31.364,-66.782,0.05,685.5
0,210000,16.0,12.13839,-31.422,-65.489,0.05,692.0
0,212000,16.5,11.97116,-30.667,-65.201,0.05,698.6
0,214000,16.667,12.19759,-30.725,-63.35,0.05,705.1
0,216000,17.167,11.90352,-31.092,-63.763,0.05,711.7
0,218000,16.083,11.94171,-31.706,-64.291,0.05,718.2
0,220000,16.25,12.03569,-31.698,-66.048,0.05,724.9
0,222000,16.0,11.9174,-30.85,-65.819,0.05,731.4
0,224000,16.583,12.01875,-31.75,-66.282,0.05,738.0
0,226000,16.083,12.03308,-31.425,-67.99,0.05,744.6
0,228000,16.5,12.03223,-31.05,-71.996,0.05,751.1
0,230000,16.583,11.84689,-30.869,-73.557,0.05,757.5
0,232000,16.5,11.74216,-31.826,-75.634,0.05,764.0
0,234000,16.167,11.81514,-30.466,-77.691,0.05,770.5
0,236000,16.0,11.94531,-32.14,-80.461,0.05,777.1
0,238000,16.083,11.97541,-31.397,-81.6,0.05,783.6
0,240000,15.917,11.93308,-33.015,-77.931,0.05,790.1
0,242000,16.667,12.15642,-31.823,-76.771,0.05,796.7
0,244000,16.667,12.13341,-31.577,-76.391,0.05,803.2
0,246000,16.667,11.99473,-31.267,-76.831,0.05,809.6
0,248000,16.417,11.88575,-30.742,-76.796,0.05,816.1
0,250000,16.167,11.77525,-30.298,-77.426,0.05,822.6
0,252000,16.333,11.88204,-31.941,-79.599,0.05,829.1
0,254000,16.167,11.87342,-31.852,-79.328,0.05,835.7
0,256000,17.583,11.56949,-31.305,-79.344,0.05,842.3
0,258000,17.083,11.56009,-30.992,-79.35,0.05,848.9
0,260000,16.25,11.62438,-31.893,-79.339,0.05,855.6
